Air Conditioning,AICO
Airline Desk,AIDE
Child Care,CHCA
Balcony,BALC
Childrens Programs,CHPR
Hair Salon,HASA
High Speed Internet,HSPI
Breakfast,BRFT
Car Rental Desk,CARE
Casino,CASI
Coffee Shop,COSH
Children Stay Free,CSFR
Computer Bus Center,COBU
Concierge Desk,CODE
Concierge Level,COLE
Connect Rooms,CORO
Continental Breakfast,COBR
Dinner,DINR
Efficiencies,EFFI
Elevators,ELEV
Entertainment,ENTR
Family Plan,FAPL
Fireplace,FPLC
Free Transportation,FRTR
Game Room,GARO
Gift Shop,GISH
Golf,GOLF
Handicap Facilities,HAFA
Health Club,HECL
Microwave Oven,MIOV
Kitchen,KTCN
Laundry/Valet,LAVA
Lounge,LUGE
Lunch,LNCH
Meal Plan,MEPL
Meeting Facilities,MEFA
Mini Bar,MIBA
Movies In Room,MOIR
Multilingual,MTGL
Non-Smoking Room,NSMR
Parking,PARK
Free Parking,FPRK
Small Pets Allowed,SPAL
Phone Service,PHSV
Pool,POOL
Indoor Pool,INPL
Outdoor Pool,OUPL
Porters,PTRS
Refrigerator,RFGR
Restaurant,RTNT
Room Service,ROSE
Oriental Room Style,ORRO
Western Room Style,WERO
Safe in Room,SAIR
Safe Deposit,SADE
Sauna,SAUN
Secretarial Service,SCCV
Shower,SHWR
Skiing,SKII
Snow Skiing,SSKI
Water Skiing,WTKI
Spa,SPAA
Tennis Court,TNCT
Tour Desk,TRDK
Television,TELV
Cable TV,CBTV
VCR,VDCR
Waterbed,WTBD
Private Bath,PRBT
Wet Bar,WTBR
120AC,A120
120DC,D120
220AC,A220
220DC,D220
FAX Service,FXSV
Jogging Track,JGTK
Sofa Bed,SFBD
Photo Copy Service,PHCO
Bath Tub,BATB
Fire Safety,FSTY
BEACH FRONT,BEFR
BANQUET FACILITY,BQFA
BARBER/HAIRDRESSER,HABR
BUSINESS SERVICES,BUSE
CURRENCY EXCHANGE,CUEX
DISCO,DISC
DATA PORT,DAPR
EXEC FLOOR/CLUB LEVEL,EXFL
EXTERIOR CORRIDORS,EXCO
FULL BREAKFAST,FUBR
GULF VIEW,GUVI
HORSEBACK RIDING,HBRI
HAIR DRYER,HADR
HIGH SPEED WIRELESS FEE,HWFE
IRONING BD/TROUSER PRES,IRBD
HIGH SPEED INT ACC FEE,HSAF
HIGH SPD INT ACC FREE,HSIF
INTERIOR CORRIDORS,INCO
HIGH SPD WIRELESS FREE,HWFR
JACUZZI/HOT TUB,JZHT
MEDICAL SERVICES,MESE
MOUNTAIN VIEW,MOVI
OCEAN FRONT,OCFR
OCEAN VIEW,OCVI
PET KENNELS,PEKE
RACQUETBALL,RAQB
SECURED PARKING,SEPA
TRAIN ACCESS,TRAC
VALET PARKING,VAPK
WHEELCHAIR ACCESSIBLE,WHAC
WHEELCHAIR ACCESS ELEV,WHAE
WEDDING SERVICES,WESE
Air Conditioning - adjustable,AICA
Covered Parking,CVPK
Hammam(Turkish bath),HATB
Bar in the Middle Pool,MPBR
Poolside Bar,PLBR
Outdoor Parking,OUPK
Parking Fee Required,FEPK
Indoor Parking,INPK
Free /airport Shuttle,SHFR
Airport Shuttle,SHTL
Airport Shuttle Surcharge,SHFE
Fitness Center or Spa,HESP
Fitness Center Nearby,HENE
Wi/Fi Wireless LAN,INWI
Internet Services,INSV
24-Hour Front Desk,FD24
All Public and Private Spaces Non-Smoking,ALNS
Allergy-Free Room Available,ALGF
Luggage Storage,LUGS
Breakfast Buffet,BRBF
Family Rooms,FARM
Soundproofed Rooms,SDPF
Chapel/Shrine nearby,CLNE
Heating,HEAT
Design/Boutique Hotel,DSGN
Express Check in/Check out,EXCK
Garden,GRDN
Gay Friendly,GYFR
Newspaper,NWPR
Ski Storage,SKIS
Billiards,BLRD
Bowling,BOWL
Library,LIBY
Canoeing,CNOE
Mini Golf,MNGF
Karaoke,KOKE
Massage,MSSG
Solarium,SOLR
Squash Courts,SQSH
Table Tennis,TBLT
Golf Course (within 3 km),GF3K
Steam Bath/Turkish Bath,STMB
Diving,DIVG
Fishing,FISH
Snorkelling,SNKL
Bar B Que facilities,BRBQ
Ski School,SKSC
Childrens Playground,CPLY
Windsurfing,WSRF
Walking,WALK
Cycling,CYCL
Darts,DART
Biking,BIKE
Ticket Service,TKTS
Very Important Person (VIP) Room Facilities,VIPF
Room service Breakfast ,RSBK
Shops in Hotel,SVSH
Lunch to go/packed lunch,L2GO
Bicycle Rental,BIKR
Shoe Shine,SHOE
Dry Cleaning,DRYC
Bridal Suite,BRST
Old Town,OTWN
University,UNIV
Forest,TREE
City Centre,CTYC
Mountains,MTNS
Museum Area,MSMA
River,RIVR
"Park, Recreation",PRKR
Beach,BECH
Near Train Station,TNBY
Panoramic View,PANO
Shopping Centre,SHOP
Near Highway,NHWY
Near Airport,NAPO
Countryside,CNYS
Lake,LAKE
Subway near,SBWY
Near Exhibition Centre,EXCT
Harbour,HRBR
Fitnesscenters in der Nahe (Kostenlos),FTDN
Safety Deposit Box,SAFD
Valet Parking,V2PK
Crib,Crib
Double,Double
Futon,Futon
King,King
MurphyBed,MurphyBed
Queen,Queen
RollawayChild,RollawayChild
RollawayAdult,RollawayAdult
SofaBed,SofaBed
TatamiMats,TatamiMats
Twin,Twin
Walk,Walk
Courtesy Bus,CourtesyBus
Limo,Limo
Public,Public
Subway Rail,SubwayRail
Bus,Bus
Other,Other
Taxi,Taxi
Rental Car,RentalCar
